feature,importance,abs_importance
numeric__MedInc,0.5304694113447733,0.5304694113447733
numeric__BedroomsPerOccupant,0.1255679483739723,0.1255679483739723
numeric__Longitude,0.08808400554529953,0.08808400554529953
numeric__Latitude,0.0858368460607784,0.0858368460607784
numeric__HouseAge,0.061582746704217324,0.061582746704217324
numeric__RoomsPerBedroom,0.04582493831934094,0.04582493831934094
numeric__AveRooms,0.03453906149670625,0.03453906149670625
numeric__AveBedrms,0.028095042154912014,0.028095042154912014
