seed,retrieval_mode,policy,document_variant,candidate_pool_size,n_queries,recall@10,recall@20,recall@50,recall@100,precision@10,map@10,ndcg@10,mrr
42,hybrid_rrf,retrieval_only,title_compact_metadata,20,150,0.5622029737647343,0.6794554442029177,0.6794554442029177,0.6794554442029177,0.36600000000000005,0.42871396683396656,0.6121336046557383,0.7175901875901876
42,hybrid_rrf,cross_encoder,title_compact_metadata,20,150,0.6003038641792443,0.6794554442029177,0.6794554442029177,0.6794554442029177,0.4,0.5035168637953238,0.6784867569161768,0.7719800998222051
42,hybrid_rrf,hybrid_cross_encoder_blend,title_compact_metadata,20,150,0.6003038641792443,0.6794554442029177,0.6794554442029177,0.6794554442029177,0.4,0.5035168637953238,0.6784867569161768,0.7719800998222051
52,hybrid_rrf,retrieval_only,title_compact_metadata,20,150,0.5780782879579484,0.7074776356363731,0.7074776356363731,0.7074776356363731,0.37666666666666665,0.44960811751105645,0.6400894198751881,0.7362356124267889
52,hybrid_rrf,cross_encoder,title_compact_metadata,20,150,0.6300250508146816,0.7074776356363731,0.7074776356363731,0.7074776356363731,0.41133333333333333,0.507895861923475,0.6963195508402608,0.7624175824175824
52,hybrid_rrf,hybrid_cross_encoder_blend,title_compact_metadata,20,150,0.6300250508146816,0.7074776356363731,0.7074776356363731,0.7074776356363731,0.41133333333333333,0.507895861923475,0.6963195508402608,0.7624175824175824
62,hybrid_rrf,retrieval_only,title_compact_metadata,20,150,0.5812844341554887,0.7070480609824414,0.7070480609824414,0.7070480609824414,0.37666666666666665,0.42424590499827464,0.6060743324477522,0.6908043068043068
62,hybrid_rrf,cross_encoder,title_compact_metadata,20,150,0.6275314136532906,0.7070480609824414,0.7070480609824414,0.7070480609824414,0.404,0.480451607656524,0.6594103351950832,0.7271589706589706
62,hybrid_rrf,hybrid_cross_encoder_blend,title_compact_metadata,20,150,0.6275314136532906,0.7070480609824414,0.7070480609824414,0.7070480609824414,0.404,0.480451607656524,0.6594103351950832,0.7271589706589706
72,hybrid_rrf,retrieval_only,title_compact_metadata,20,150,0.5784645815216327,0.7128961488020518,0.7128961488020518,0.7128961488020518,0.3926666666666667,0.44043678945449755,0.6097680294556528,0.6908999268705152
72,hybrid_rrf,cross_encoder,title_compact_metadata,20,150,0.6200993426246071,0.7128961488020518,0.7128961488020518,0.7128961488020518,0.43,0.4999716113390783,0.6650746335812037,0.7364047619047619
72,hybrid_rrf,hybrid_cross_encoder_blend,title_compact_metadata,20,150,0.6200993426246071,0.7128961488020518,0.7128961488020518,0.7128961488020518,0.43,0.4999716113390783,0.6650746335812037,0.7364047619047619
82,hybrid_rrf,retrieval_only,title_compact_metadata,20,150,0.5649521302579442,0.6882416150259746,0.6882416150259746,0.6882416150259746,0.37333333333333335,0.45563031382315616,0.6276167068836956,0.729191798941799
82,hybrid_rrf,cross_encoder,title_compact_metadata,20,150,0.6022210013782886,0.6882416150259746,0.6882416150259746,0.6882416150259746,0.392,0.4995327560094675,0.6566139958942697,0.7015293410293411
82,hybrid_rrf,hybrid_cross_encoder_blend,title_compact_metadata,20,150,0.6022210013782886,0.6882416150259746,0.6882416150259746,0.6882416150259746,0.392,0.4995327560094675,0.6566139958942697,0.7015293410293411
