split,alpha,document_variant,candidate_pool_size,policy,recall@10_mean,recall@20_mean,recall@50_mean,recall@100_mean,precision@10_mean,map@10_mean,ndcg@10_mean,mrr_mean
validation,0.5,title_compact_metadata,20,hybrid_cross_encoder_blend,0.6404870529532389,0.7322748595413255,0.7322748595413255,0.7322748595413255,0.42866666666666653,0.5128984805063554,0.6843326683506196,0.7677700817700818
validation,0.65,title_compact_metadata,20,hybrid_cross_encoder_blend,0.6440499065374055,0.7322748595413255,0.7322748595413255,0.7322748595413255,0.4319999999999999,0.5179357281379867,0.6878025602983194,0.7636953601953602
validation,0.8,title_compact_metadata,20,hybrid_cross_encoder_blend,0.6405467276118126,0.7322748595413255,0.7322748595413255,0.7322748595413255,0.43133333333333324,0.5243193844681093,0.6907393611495758,0.7691388888888889
validation,0.9,title_compact_metadata,20,hybrid_cross_encoder_blend,0.6374499316874306,0.7322748595413255,0.7322748595413255,0.7322748595413255,0.42799999999999994,0.5216826081525358,0.6877805535181144,0.7636296296296295
validation,1.0,title_compact_metadata,20,cross_encoder,0.6403155905856982,0.7322748595413255,0.7322748595413255,0.7322748595413255,0.43066666666666653,0.5279956475560936,0.6925595506945029,0.7585555555555556
