param_model__alpha,param_tfidf__ngram_range,mean_test_score,std_test_score,rank_test_score
0.25,"(1, 1)",0.8061819096994842,0.02416286860971621,5
0.25,"(1, 2)",0.8053396539532868,0.01814094374826866,6
0.5,"(1, 1)",0.8080600019549256,0.026902268975974135,4
0.5,"(1, 2)",0.8112488582110867,0.013734858859413935,1
1.0,"(1, 1)",0.8105143107940277,0.021510850002237396,2
1.0,"(1, 2)",0.8083699335338739,0.015968124536612328,3
