method,seeds,recall@1_mean,recall@1_std,recall@1_ci95_low,recall@1_ci95_high,recall@5_mean,recall@5_std,recall@5_ci95_low,recall@5_ci95_high,recall@10_mean,recall@10_std,recall@10_ci95_low,recall@10_ci95_high,recall@20_mean,recall@20_std,recall@20_ci95_low,recall@20_ci95_high,recall@50_mean,recall@50_std,recall@50_ci95_low,recall@50_ci95_high,recall@100_mean,recall@100_std,recall@100_ci95_low,recall@100_ci95_high,mrr_mean,mrr_std,mrr_ci95_low,mrr_ci95_high,map@10_mean,map@10_std,map@10_ci95_low,map@10_ci95_high,ndcg@10_mean,ndcg@10_std,ndcg@10_ci95_low,ndcg@10_ci95_high,precision@10_mean,precision@10_std,precision@10_ci95_low,precision@10_ci95_high,zero_result_rate_mean,zero_result_rate_std,zero_result_rate_ci95_low,zero_result_rate_ci95_high
bm25_enriched_k1.2_b0.75,5,0.1618553595641869,0.022330138047632248,0.13413327604795222,0.18957744308042157,0.43897069108206843,0.01847854663320451,0.41603022327431793,0.46191115888981893,0.5715349764808131,0.026379932505194277,0.5387852151268221,0.6042847378348041,0.688371920388644,0.03424046242717983,0.6458635867179785,0.7308802540593096,0.8026562788324216,0.021568842345954943,0.7758793172396354,0.8294332404252078,0.8565373393011761,0.019042787077177315,0.8328963867638782,0.8801782918384741,0.7167174916730201,0.025266204358683438,0.6853503847668474,0.7480845985791928,0.46694152786579785,0.024985419701818248,0.4359230052671243,0.4979600504644714,0.6328783265262228,0.02871985883596883,0.5972236286678,0.6685330243846456,0.38760000000000006,0.022610715257250117,0.3595295897147509,0.4156704102852492,0.0,0.0,0.0,0.0
hybrid_candidate_union,5,0.15437544983214568,0.026256799815504283,0.12177855339550919,0.18697234626878217,0.4292399685192369,0.009567732733198877,0.41736196376508017,0.44111797327339364,0.5595590498994658,0.010627917297211725,0.5463648631779834,0.5727532366209482,0.6759656198076882,0.014774795868316603,0.6576232287251476,0.6943080108902289,0.7917630154509112,0.01690450097051479,0.7707766701490929,0.8127493607527295,0.8384523530488117,0.008602873309606855,0.8277721874421421,0.8491325186554813,0.715815725137302,0.03206549536414094,0.6760075368234636,0.7556239134511403,0.4436915937501447,0.012774545137715794,0.4278324438230704,0.45955074367721904,0.6168915312879477,0.0182748428836434,0.5942039545436495,0.6395791080322459,0.37626666666666664,0.013813037319865594,0.3591182651038387,0.39341506822949457,0.0,0.0,0.0,0.0
hybrid_rrf,5,0.15322934729916163,0.029189195122063073,0.11699198489596309,0.18946670970236018,0.4419552299912038,0.009533168591925493,0.4301201354066575,0.4537903245757501,0.5695779613915589,0.008000417167049034,0.5596457239644299,0.5795101988186879,0.6963727279964882,0.01374143319836099,0.6793132204401471,0.7134322355528293,0.8313919831479838,0.016647502840649427,0.8107246920143236,0.852059274281644,0.9002761948378767,0.007295015717105112,0.8912196885802597,0.9093327010954937,0.7133820802783994,0.021441436169250067,0.686763288987273,0.7400008715695259,0.43900907940327594,0.01443485866612653,0.4210887084394325,0.45692945036711935,0.6180144683629877,0.015732874259540768,0.5984826565469091,0.6375462801790662,0.3762666666666667,0.009950991017090826,0.36391286018966895,0.38862047314366444,0.0,0.0,0.0,0.0
hybrid_weighted,5,0.14744394430064017,0.025192571058185006,0.11616825055553437,0.17871963804574598,0.4269990048584891,0.012365593389128345,0.4116475541898908,0.44235045552708735,0.5615535745666297,0.01841670985959562,0.5386898749453859,0.5844172741878735,0.6991373108964903,0.019368851587429462,0.6750915607011749,0.7231830610918057,0.8298454207187236,0.007701988778341678,0.820283671673606,0.8394071697638411,0.8865354047161208,0.010593005853951286,0.8733845593274897,0.8996862501047519,0.7085231535341965,0.03320053151620985,0.6673058576306746,0.7497404494377183,0.44046966911837904,0.01861594037650907,0.41735863179518834,0.46358070644156973,0.6153785072270193,0.02033558327945375,0.5901325935285977,0.6406244209254408,0.37933333333333336,0.01843306208359796,0.35644933299928144,0.40221733366738527,0.0,0.0,0.0,0.0
semantic_e5_small,5,0.1377684303973398,0.013339334716625057,0.12120811400894653,0.15432874678573305,0.3686463011627629,0.013334327326215166,0.35209220127401,0.3852004010515159,0.490002134878645,0.011675290144281284,0.4755076714872574,0.5044965982700327,0.5930055917541545,0.008708868197424259,0.5821938372103228,0.6038173462979861,0.7251474436221867,0.011492924271662732,0.7108793810681097,0.7394155061762638,0.7957019257537714,0.012000017268594763,0.7808043250221218,0.810599526485421,0.6334388563455638,0.010581884234397152,0.6203018180576976,0.6465758946334301,0.3652633124746201,0.007564906025881072,0.355871746860713,0.37465487808852727,0.5274191610843302,0.006749004832544142,0.5190405081973589,0.5357978139713014,0.3158666666666667,0.008291896981725914,0.3055725672685757,0.3261607660647577,0.0,0.0,0.0,0.0
tfidf_combined_enriched,5,0.14180289035600563,0.022722297704103805,0.11359395437494461,0.17001182633706666,0.4225792536510317,0.01206500050539698,0.40760097850913246,0.43755752879293097,0.5569946380236797,0.015108592576714673,0.5382378500302055,0.5757514260171538,0.6819757217628848,0.0170060736844109,0.6608632774977913,0.7030881660279783,0.8172387554896702,0.012990137479621945,0.8011119552285481,0.8333655557507923,0.8860181102971284,0.009640230631441267,0.8740501019439998,0.897986118650257,0.6867164515654988,0.03399822522130731,0.644508846893356,0.7289240562376416,0.4309414595745351,0.01688757962345348,0.40997612153184976,0.45190679761722047,0.6032318290049754,0.0198976936290758,0.5785295399555721,0.6279341180543787,0.3745333333333333,0.01537241396499302,0.3554490203355972,0.3936176463310693,0.0,0.0,0.0,0.0
