segment,method,recall@50_mean,recall@50_count,recall@100_mean,recall@100_count,mrr_mean,mrr_count,ndcg@10_mean,ndcg@10_count
age_specific,bm25_enriched_k1.2_b0.75,0.8440178177020281,39,0.8945859511648985,39,0.6743308434484905,39,0.5820606924395442,39
age_specific,hybrid_candidate_union,0.8150237137079243,39,0.8375410691200165,39,0.6367219959527651,39,0.5463342977083114,39
age_specific,hybrid_rrf,0.8081427870901555,39,0.9318101212838056,39,0.6768448798299544,39,0.5715925748453379,39
age_specific,hybrid_weighted,0.8411447450921136,39,0.9165679560416402,39,0.6088681849551415,39,0.5341987488254102,39
age_specific,semantic_e5_small,0.7221983432509749,39,0.8119000434789908,39,0.6400270587610741,39,0.4890476007622355,39
age_specific,tfidf_combined_enriched,0.7952554492028175,39,0.908338572812257,39,0.5874005178222046,39,0.514872316205239,39
attribute_heavy_query,bm25_enriched_k1.2_b0.75,0.8912476412476412,21,0.9133089133089133,21,0.8699507389162562,21,0.7647914629664282,21
attribute_heavy_query,hybrid_candidate_union,0.9067044067044068,21,0.974969474969475,21,0.9206349206349206,21,0.7710119662124316,21
attribute_heavy_query,hybrid_rrf,0.9397130647130647,21,0.9865689865689866,21,0.8904761904761904,21,0.7907183404002678,21
attribute_heavy_query,hybrid_weighted,0.9030414030414031,21,0.9407814407814408,21,0.8928571428571429,21,0.7382057568732857,21
attribute_heavy_query,semantic_e5_small,0.9405871905871905,21,0.9728049728049728,21,0.8809523809523809,21,0.7416850243818804,21
attribute_heavy_query,tfidf_combined_enriched,0.891885891885892,21,0.9407814407814408,21,0.8531746031746033,21,0.7082793337621986,21
brand_query,bm25_enriched_k1.2_b0.75,0.88173868129971,322,0.924520297765776,322,0.8022795765415164,322,0.7331033116744726,322
brand_query,hybrid_candidate_union,0.856854726824874,322,0.8969449079858494,322,0.7726907039893189,322,0.6962047957940698,322
brand_query,hybrid_rrf,0.8966692188461025,322,0.9565443446256782,322,0.7648451517821147,322,0.6959648723704187,322
brand_query,hybrid_weighted,0.8972045078239522,322,0.9360400023477908,322,0.7674897700803527,322,0.7006652060176263,322
brand_query,semantic_e5_small,0.7787474939635382,322,0.8431237915140358,322,0.6651433638527801,322,0.5854611110753318,322
brand_query,tfidf_combined_enriched,0.8888837579376457,322,0.934528949118645,322,0.743586287852419,322,0.6852539853204364,322
category_query,bm25_enriched_k1.2_b0.75,0.8103995227886119,637,0.8666565671530504,637,0.7266700618866672,637,0.6344831545398292,637
category_query,hybrid_candidate_union,0.7998930409343817,637,0.8490671236246408,637,0.7138757005808538,637,0.6108784847078825,637
category_query,hybrid_rrf,0.829516335602433,637,0.8972460314180641,637,0.7111015407642887,637,0.6140287257511889,637
category_query,hybrid_weighted,0.8297493614886517,637,0.8864864809053368,637,0.7058643359309091,637,0.6045152436746906,637
category_query,semantic_e5_small,0.7366243237589808,637,0.811784021813917,637,0.6307906407121957,637,0.526452587077472,637
category_query,tfidf_combined_enriched,0.8150192910254817,637,0.8857251499411423,637,0.684755413416791,637,0.59365317429105,637
gender_specific,bm25_enriched_k1.2_b0.75,0.7816458915689908,77,0.8554891620553616,77,0.7107452071737786,77,0.5946675113413291,77
gender_specific,hybrid_candidate_union,0.7301232121147028,77,0.7797065888158169,77,0.7116161616161616,77,0.5846258992722287,77
gender_specific,hybrid_rrf,0.7529122254166158,77,0.8392320448268613,77,0.716017316017316,77,0.585636841506686,77
gender_specific,hybrid_weighted,0.7533596545570451,77,0.8496027291730261,77,0.695021645021645,77,0.5631027063199493,77
gender_specific,semantic_e5_small,0.6798182722933207,77,0.7550991065719433,77,0.6921813243708135,77,0.5102778146725776,77
gender_specific,tfidf_combined_enriched,0.7575354077326355,77,0.8435793124353237,77,0.6722781187066902,77,0.5380694478381691,77
high_lexical_overlap,bm25_enriched_k1.2_b0.75,0.8475199142554112,673,0.8964748710630992,673,0.7779210496849941,673,0.6863850054484918,673
high_lexical_overlap,hybrid_candidate_union,0.8165421194814224,673,0.8574219997717303,673,0.7582039850728193,673,0.6524750264161159,673
high_lexical_overlap,hybrid_rrf,0.8543960425563117,673,0.9196895438657173,673,0.7476450713639008,673,0.6496198244851832,673
high_lexical_overlap,hybrid_weighted,0.852753347390399,673,0.9072956352409679,673,0.7503270778524881,673,0.6511658865013097,673
high_lexical_overlap,semantic_e5_small,0.7489090388673905,673,0.8140063479504485,673,0.6634060153169744,673,0.555088268522393,673
high_lexical_overlap,tfidf_combined_enriched,0.8465693508739713,673,0.9076984882793729,673,0.7287902439127119,673,0.6392831634196748,673
long_query,bm25_enriched_k1.2_b0.75,0.8839570645260455,129,0.9283358955612351,129,0.7917011796613029,129,0.7080371853514617,129
long_query,hybrid_candidate_union,0.848797406676611,129,0.8925428739095707,129,0.7621002431980545,129,0.669384492638279,129
long_query,hybrid_rrf,0.8623254126999934,129,0.941494070486403,129,0.7570109380753218,129,0.6714837459878797,129
long_query,hybrid_weighted,0.8717534873133816,129,0.9310155997388596,129,0.7473848692726942,129,0.655099843942808,129
