seed,method,candidate_coverage,zero_result_rate,relevant_product_availability,recall@1,hit_rate@1,precision@1,recall@5,hit_rate@5,precision@5,recall@10,hit_rate@10,precision@10,recall@20,hit_rate@20,precision@20,recall@50,hit_rate@50,precision@50,recall@100,hit_rate@100,precision@100,mrr,map@10,map@100,ndcg@10
42,tfidf_combined_enriched,1.0,0.0,1.0,0.16488947217396002,0.6,0.6,0.4085156162169968,0.8333333333333334,0.44399999999999995,0.5392270238296101,0.8933333333333333,0.366,0.6619181567947232,0.94,0.26866666666666666,0.7983386630093576,0.9733333333333334,0.15813333333333338,0.8859162406979816,1.0,0.09546666666666669,0.7075278764737643,0.43077464029644336,0.5525584471795333,0.6034612787622073
42,bm25_enriched_k1.2_b0.75,1.0,0.0,1.0,0.15428110030140355,0.5866666666666667,0.5866666666666667,0.4068579239845736,0.8,0.4506666666666667,0.5304650050102908,0.88,0.3593333333333334,0.6377569756902699,0.9,0.26866666666666666,0.7701745893160482,0.9466666666666667,0.15426666666666666,0.8386446878416807,0.9666666666666667,0.09240000000000001,0.6904590958311025,0.4261394668465439,0.5478563904598618,0.5921443980701818
42,semantic_e5_small,1.0,0.0,1.0,0.1547097042435759,0.5133333333333333,0.5133333333333333,0.3521663013207398,0.7933333333333333,0.368,0.4704571798570663,0.86,0.3046666666666667,0.5804255765588063,0.9066666666666666,0.22733333333333333,0.7086229748938077,0.9333333333333333,0.13733333333333334,0.7818706645122028,0.9533333333333334,0.08299999999999999,0.6360573985693675,0.3568234593733891,0.45689719103363674,0.5168742338687612
42,hybrid_weighted,1.0,0.0,1.0,0.17280397710636777,0.64,0.64,0.41623404271803194,0.8466666666666667,0.456,0.5413511095920044,0.9133333333333333,0.364,0.678724652088106,0.9666666666666667,0.2776666666666667,0.8296458489142755,1.0,0.16253333333333336,0.8838792036609444,1.0,0.09533333333333334,0.7385666963577147,0.44337060279097984,0.5681752305271929,0.6147848171366077
42,hybrid_rrf,1.0,0.0,1.0,0.16142028216768722,0.58,0.58,0.4379673660518566,0.9066666666666666,0.4586666666666667,0.5622029737647343,0.9466666666666667,0.36600000000000005,0.6794554442029177,0.98,0.27199999999999996,0.8271868233377226,0.9933333333333333,0.16160000000000005,0.8935168722539811,1.0,0.09526666666666668,0.7182825754532439,0.42871396683396656,0.5527499533821277,0.6121336046557383
42,hybrid_candidate_union,1.0,0.0,1.0,0.17502619932858998,0.6466666666666666,0.6466666666666666,0.42185444656799687,0.86,0.456,0.5429757004023187,0.92,0.35933333333333334,0.6524202509275258,0.9666666666666667,0.26199999999999996,0.7809991079521139,0.9933333333333333,0.15466666666666667,0.8350721492979949,1.0,0.08780000000000002,0.7391651281771303,0.4393264983016733,0.54684251467863,0.6126641692250658
52,tfidf_combined_enriched,1.0,0.0,1.0,0.15760944526499515,0.64,0.64,0.43426984733294915,0.8333333333333334,0.4773333333333334,0.5535266134746301,0.8733333333333333,0.3826666666666667,0.6873656063222511,0.9066666666666666,0.295,0.8139435700237557,0.9333333333333333,0.17653333333333335,0.8825654447254808,0.96,0.10866666666666665,0.7295213744352299,0.44303097067599867,0.5748108151294521,0.628889505804474
52,bm25_enriched_k1.2_b0.75,1.0,0.0,1.0,0.1972146977123528,0.6933333333333334,0.6933333333333334,0.448499117079369,0.82,0.49066666666666664,0.5814222144241686,0.8733333333333333,0.40599999999999997,0.7023403099800677,0.9,0.3056666666666667,0.809746244438524,0.9333333333333333,0.1784,0.8673622280695539,0.9466666666666667,0.10919999999999999,0.7581793512033533,0.492511481320869,0.6251512980929196,0.6724422173708365
52,semantic_e5_small,1.0,0.0,1.0,0.14377346581750658,0.52,0.52,0.38814987651654353,0.7933333333333333,0.39466666666666667,0.4915197094522845,0.8666666666666667,0.31133333333333335,0.5925381227016074,0.9,0.22933333333333333,0.7305526887414603,0.94,0.14333333333333334,0.7970947641326673,0.9533333333333334,0.09060000000000001,0.6387438873394755,0.3650895041477809,0.45689473299886496,0.5356344264513008
52,hybrid_weighted,1.0,0.0,1.0,0.15732084497639484,0.64,0.64,0.4454827698572099,0.8533333333333334,0.48800000000000004,0.5701842663558855,0.8933333333333333,0.3886666666666667,0.7078006648108638,0.9333333333333333,0.29833333333333334,0.8314588282324624,0.9466666666666667,0.17880000000000001,0.8909450743551103,0.9666666666666667,0.10893333333333333,0.7390345501994438,0.45015279376510553,0.5806623919767715,0.640808784232543
