method,build_seconds,index_bytes,mean_latency_ms,p50_latency_ms,p95_latency_ms
tfidf_word_title,0.9970747920001486,9513740,2.113202560994523,2.085061999878235,2.51149940029336
tfidf_word_enriched,3.117130249999718,55948160,7.623373423013618,7.08237500020914,9.675164600298556
tfidf_char_enriched,11.359056333000353,346849232,48.600143915001816,47.915750000129265,56.41431219992228
tfidf_combined_enriched,0.0,402797392,68.63326708600107,66.90033349968871,80.23168124998391
bm25_title_k1.2_b0.75,0.4388043750000179,4447044,0.4034024820002742,0.3621465000378521,0.7115021002618959
bm25_title_k1.5_b0.75,0.4074964579999687,4447044,0.4437896979998186,0.36000000022795575,0.7467972998938419
bm25_title_k1.8_b0.6,0.43238070899997183,4447044,0.3769076290004705,0.3439584997977363,0.6566374999238178
bm25_enriched_k1.2_b0.75,1.510699625000143,18464492,0.4552086759940721,0.3812294999079313,0.8719312500261367
bm25_enriched_k1.5_b0.75,1.492072250000092,18464492,0.44256627700951867,0.3781875000186119,0.8711836497923287
bm25_enriched_k1.8_b0.6,1.4753810829997747,18464492,0.4449429319961382,0.3778960001454834,0.8584482500054946
