seed,method,recall@1,hit_rate@1,precision@1,recall@5,hit_rate@5,precision@5,recall@10,hit_rate@10,precision@10,recall@20,hit_rate@20,precision@20,recall@50,hit_rate@50,precision@50,recall@100,hit_rate@100,precision@100,mrr,map@100,ndcg@10,candidate_coverage,zero_result_rate,relevant_product_availability
42,tfidf_combined_enriched,0.16488947217396,0.6,0.6,0.4085156162169968,0.8333333333333334,0.4439999999999999,0.5392270238296101,0.8933333333333333,0.366,0.6619181567947232,0.94,0.2686666666666666,0.7983386630093576,0.9733333333333334,0.1581333333333333,0.8859162406979816,1.0,0.0954666666666666,0.7075278764737643,0.5525584471795333,0.6034612787622073,1.0,0.0,1.0
42,bm25_enriched_k1.2_b0.75,0.1542811003014035,0.5866666666666667,0.5866666666666667,0.4068579239845736,0.8,0.4506666666666667,0.5304650050102908,0.88,0.3593333333333334,0.6377569756902699,0.9,0.2686666666666666,0.7701745893160482,0.9466666666666668,0.1542666666666666,0.8386446878416807,0.9666666666666668,0.0924,0.6904590958311025,0.5478563904598618,0.5921443980701818,1.0,0.0,1.0
52,tfidf_combined_enriched,0.1576094452649951,0.64,0.64,0.4342698473329491,0.8333333333333334,0.4773333333333334,0.5535266134746301,0.8733333333333333,0.3826666666666667,0.6873656063222511,0.9066666666666666,0.295,0.8139435700237557,0.9333333333333332,0.1765333333333333,0.8825654447254808,0.96,0.1086666666666666,0.7295213744352299,0.5748108151294521,0.628889505804474,1.0,0.0,1.0
52,bm25_enriched_k1.2_b0.75,0.1972146977123528,0.6933333333333334,0.6933333333333334,0.448499117079369,0.82,0.4906666666666666,0.5814222144241686,0.8733333333333333,0.4059999999999999,0.7023403099800677,0.9,0.3056666666666667,0.809746244438524,0.9333333333333332,0.1784,0.8673622280695539,0.9466666666666668,0.1091999999999999,0.7581793512033533,0.6251512980929196,0.6724422173708365,1.0,0.0,1.0
62,tfidf_combined_enriched,0.116399335497058,0.5066666666666667,0.5066666666666667,0.4180558539176047,0.8333333333333334,0.432,0.5609674729428363,0.8866666666666667,0.3573333333333333,0.674844984745079,0.9266666666666666,0.2646666666666666,0.8164740247325916,0.9533333333333334,0.1573333333333333,0.884579991911778,0.9666666666666668,0.0958666666666666,0.6423894069596379,0.5176759738637408,0.5730417736372299,1.0,0.0,1.0
62,bm25_enriched_k1.2_b0.75,0.1489066846294071,0.62,0.62,0.4493444999051869,0.8533333333333334,0.476,0.5946617031610026,0.9066666666666666,0.3826666666666666,0.6905629796842279,0.92,0.2706666666666666,0.8086370989283629,0.9533333333333334,0.1570666666666667,0.8692688673759975,0.96,0.0941999999999999,0.718135651404414,0.5775083935697028,0.6334286463057701,1.0,0.0,1.0
72,tfidf_combined_enriched,0.1185346493475007,0.5333333333333333,0.5333333333333333,0.4159388813701993,0.8266666666666667,0.488,0.5801273735803182,0.8933333333333333,0.3966666666666667,0.707657293092727,0.9333333333333332,0.2883333333333333,0.8333413744142685,0.9733333333333334,0.156,0.901653566237526,0.98,0.0894666666666666,0.6668930242113025,0.5655902275759236,0.6069009857053436,1.0,0.0,1.0
72,bm25_enriched_k1.2_b0.75,0.1401340033984677,0.6066666666666667,0.6066666666666667,0.4395243101085003,0.8266666666666667,0.5239999999999999,0.5902566556710545,0.8933333333333333,0.4146666666666667,0.7314285009980218,0.92,0.3046666666666667,0.8286615815361467,0.94,0.1585333333333333,0.8741389443107337,0.96,0.088,0.7099534222325907,0.6032110681366063,0.639282112872408,1.0,0.0,1.0
82,tfidf_combined_enriched,0.1515815494965142,0.5666666666666667,0.5666666666666667,0.4361160694174085,0.8533333333333334,0.4666666666666668,0.5511247062910035,0.88,0.37,0.6780925678596436,0.9,0.2816666666666667,0.8240961452683776,0.9333333333333332,0.1645333333333333,0.875375307912876,0.9533333333333334,0.0927333333333333,0.6872505757475593,0.5677278267953733,0.6038656011156225,1.0,0.0,1.0
82,bm25_enriched_k1.2_b0.75,0.1687403117793032,0.5933333333333334,0.5933333333333334,0.4506276043327123,0.8266666666666667,0.4746666666666668,0.5608693041375489,0.8733333333333333,0.3753333333333334,0.6797708355906328,0.9,0.284,0.7960618799430266,0.9266666666666666,0.1614666666666666,0.8332719689079143,0.94,0.0882666666666666,0.7068599376936396,0.5961778723449254,0.6270942580119171,1.0,0.0,1.0
