variant,seeds,precision_mean,precision_std,precision_ci95_low,precision_ci95_high,recall_mean,recall_std,recall_ci95_low,recall_ci95_high,f1_mean,f1_std,f1_ci95_low,f1_ci95_high,pr_auc_mean,pr_auc_std,pr_auc_ci95_low,pr_auc_ci95_high
enriched,5,0.8098674379165438,0.02830824786874866,0.7747237406433004,0.8450111351897872,0.28747005465227454,0.06480593266426217,0.20701576127379487,0.36792434803075424,0.4201027543126218,0.06677415820975748,0.33720497792321674,0.5030005307020268,0.7329944351867778,0.02771458668649866,0.6985877474581944,0.7674011229153611
original,5,0.7592811305566753,0.01715750410176359,0.7379806907374211,0.7805815703759296,0.5246402300386589,0.06974859280294746,0.43804979738219,0.6112306626951278,0.6176326613789295,0.04739456094661525,0.5587939755645058,0.6764713471933531,0.7372241253622325,0.02004207966372896,0.7123425861128216,0.7621056646116433
weighted,5,0.8014951582612063,0.011650948726078832,0.7870309138871339,0.8159594026352788,0.34179314331630967,0.060332336341637635,0.2668926629330375,0.41669362369958185,0.47624610017385915,0.06019362793378542,0.4015178214159724,0.5509743789317458,0.7310800527017371,0.02328482159058542,0.7021727630370734,0.7599873423664009
weighted_enriched,5,0.7920888720350833,0.0673474409266589,0.708479385251302,0.8756983588188645,0.11679388164536415,0.05292621365038594,0.051087842932824534,0.18249992035790377,0.2004268143798098,0.08017417201900547,0.1008933906358619,0.2999602381237577,0.7242663840873764,0.01284659945251303,0.7083177812546257,0.7402149869201271
