seed,model,delta,ci_low,ci_high,improved,unchanged,worsened
42,persisted_v1_reference,-0.001039973603033145,-0.01805260788461572,0.014982157335138474,41,57,52
42,random_forest,-0.008024259251108966,-0.026114668041334728,0.008655986763749518,41,60,49
42,hard_negative_original,0.00038863045177697417,-0.005207071910170238,0.005792975900417687,28,99,23
42,hard_negative_weighted,-0.0009366625565070449,-0.008309437100612575,0.006323484565918926,33,87,30
42,hard_negative_enriched,0.005960023474380996,-0.003973989262430627,0.01608529739772018,45,70,35
42,hard_negative_weighted_enriched,-0.004215606663096805,-0.014228131615998353,0.005384734902886156,31,83,36
42,rank_ndcg_mean,-0.010024884511299337,-0.024499674190846747,0.00567505132739338,36,60,54
42,rank_ndcg_topk,-0.015426478038527373,-0.03474916497768339,0.00406229001790407,40,61,49
42,rank_pairwise,0.0011333963342579608,-0.013417918650146514,0.01587967319566172,43,57,50
42,rank_map,-0.008069743067135447,-0.026340539565211447,0.007773809880581915,44,55,51
52,persisted_v1_reference,0.0033600236255474578,-0.01223664389101839,0.01896832961146727,41,66,43
52,random_forest,0.005337026309760831,-0.009560916393563546,0.01958466498702827,45,70,35
52,hard_negative_original,0.000831056948132079,-0.0017975139380953017,0.0036996849205419785,12,128,10
52,hard_negative_weighted,0.007960631871176816,-0.004212682949153008,0.019777168277663223,41,76,33
52,hard_negative_enriched,0.002268543662879636,-0.00422455326603295,0.008677243125174526,31,92,27
52,hard_negative_weighted_enriched,-0.00736355532941548,-0.01835236634335406,0.0023519310148006887,19,103,28
52,rank_ndcg_mean,0.008657643902968436,-0.004695592737806511,0.0221228402255618,43,74,33
52,rank_ndcg_topk,0.015024713690178165,-0.0005344311130403217,0.029581483571259115,47,69,34
52,rank_pairwise,0.003847175408876571,-0.009039446725124165,0.017455362973887254,43,73,34
52,rank_map,0.010015424008119037,-0.004113797870743904,0.02385133677014864,43,79,28
62,persisted_v1_reference,0.008189209616906546,-0.00863775111536211,0.026245164475746055,47,63,40
62,random_forest,-0.011924747888728916,-0.024667885859453606,0.0006913858561679049,34,69,47
62,hard_negative_original,-0.005757867542619041,-0.01733028380609271,0.004109716349786898,26,87,37
62,hard_negative_weighted,-0.006356420952118024,-0.019121937021291956,0.004362256481475085,29,85,36
62,hard_negative_enriched,-0.008321840308317735,-0.022234691883384047,0.003876683615549978,27,82,41
62,hard_negative_weighted_enriched,-0.0024726567281009378,-0.009884343857743116,0.0046757568984991445,31,81,38
62,rank_ndcg_mean,-0.016941349830396676,-0.03075285216245571,-0.002405991349789976,34,66,50
62,rank_ndcg_topk,-0.014810478577077714,-0.027222902685615464,-0.0017117957373533926,30,64,56
62,rank_pairwise,-0.012596126870429925,-0.025771634325060626,0.0014526356092448489,35,69,46
62,rank_map,-0.015817162233647035,-0.028867245952557675,-0.0029240844663696915,34,71,45
72,persisted_v1_reference,0.004371566254004983,-0.013982635530070132,0.021646516422369543,51,59,40
72,random_forest,-0.01730381321490874,-0.030816882057923344,-0.004554451899102497,32,68,50
72,hard_negative_original,0.001348854064329129,-0.006714014111449407,0.009227261027720982,36,86,28
72,hard_negative_weighted,-0.01301078638887077,-0.02352014018942532,-0.0024545320911708284,34,70,46
72,hard_negative_enriched,-0.01686721221814039,-0.02840911998976469,-0.005942762616818362,33,68,49
72,hard_negative_weighted_enriched,-0.009276222621091231,-0.017967108333768553,-0.0014671644258765076,29,69,52
72,rank_ndcg_mean,-0.009085274899152245,-0.024493176782963467,0.005663291806691095,36,66,48
72,rank_ndcg_topk,-0.012773264103624804,-0.028015404773744538,0.0022641425284337063,34,63,53
72,rank_pairwise,-0.002799457925753822,-0.01778030167005973,0.011745055848562903,40,67,43
72,rank_map,-0.0018434810928201725,-0.01503556783517402,0.011269633329275315,38,66,46
82,persisted_v1_reference,0.00306366628509402,-0.015290614408537889,0.022129737223772712,46,59,45
82,random_forest,-0.003213692826337849,-0.02328135553235851,0.01696996877589,38,58,54
82,hard_negative_original,-0.005291495361288563,-0.010156201486056806,-0.000691610690896153,21,98,31
82,hard_negative_weighted,-0.0020587212298655627,-0.005118152378390668,0.0010990645271614571,13,110,27
82,hard_negative_enriched,-0.0070048559602027246,-0.017345165116911473,0.004871922951445701,33,74,43
82,hard_negative_weighted_enriched,-0.010548257624475622,-0.019872045729367155,-0.0011063133240191332,22,85,43
82,rank_ndcg_mean,-0.004337569039296895,-0.02178751783806702,0.013859562336469284,37,58,55
82,rank_ndcg_topk,-0.009360092561664136,-0.028976575188019597,0.011758001741789918,35,57,58
82,rank_pairwise,-0.0028798318631337197,-0.021806989859966028,0.017303107667568273,42,58,50
82,rank_map,0.0025714223525142616,-0.015776280249113886,0.02322545797261743,45,56,49
