seed,model,ndcg@1,ndcg@3,ndcg@5,ndcg@10,mrr,precision@5,recall@5,map@5,precision@10,recall@10,map@10,train_seconds,latency_ms_per_row
42,leakage_safe_lexical_baseline,0.83,0.8373539733745068,0.8426576186798155,0.8570719036952283,0.8983333333333333,0.6471111111111111,0.5883911911118382,0.8788240740740739,0.5467724867724868,0.7488970537998992,0.8615299928613421,,
42,persisted_v1_reference,0.8533333333333334,0.8417513466736267,0.8423650873303623,0.8560319300921952,0.9083333333333333,0.6431111111111111,0.5814414784349253,0.885962962962963,0.5441058201058201,0.7473325198670353,0.8602776937935668,,
42,random_forest,0.86,0.8222352556095536,0.8375787456876675,0.8490476444441195,0.9127777777777779,0.6391111111111112,0.5884787337083388,0.8757685185185186,0.5354391534391535,0.7474368022799357,0.8497902053413957,,
42,hard_negative_original,0.8166666666666667,0.8362549611239973,0.8467266890117296,0.8574605341470052,0.8905555555555554,0.6564444444444445,0.5934813043392063,0.8775648148148146,0.5487724867724868,0.7495284849685853,0.8613404667422526,,
42,hard_negative_weighted,0.81,0.8352402048291762,0.8471696900246287,0.8561352411387213,0.8877777777777777,0.6591111111111112,0.5971077916862819,0.8762222222222222,0.5494391534391535,0.7500418810572207,0.8586843432434701,,
42,hard_negative_enriched,0.8366666666666667,0.8311853986841636,0.8483361018991331,0.8630319271696093,0.8988888888888887,0.6564444444444445,0.5944923147139938,0.8782222222222221,0.5541058201058201,0.7570920114002649,0.8609667800453515,,
42,hard_negative_weighted_enriched,0.8333333333333334,0.8223750164025991,0.8390604209937912,0.8528562970321315,0.8982222222222224,0.6497777777777778,0.5888954392239295,0.8689999999999998,0.5467724867724868,0.748399342143364,0.8548375955320402,,
42,rank_ndcg_mean,0.8133333333333334,0.808077663088338,0.8271488826266615,0.847047019183929,0.89,0.6377777777777778,0.5898660319962367,0.8620648148148147,0.5441058201058201,0.7536810247191361,0.8417110785672294,0.42526799999996,0.00034695315316748856
42,rank_ndcg_topk,0.8011111111111111,0.810059514762928,0.8266193012864298,0.8416454256567011,0.8822222222222221,0.6364444444444445,0.5896403310340056,0.861,0.5354391534391535,0.745526911146348,0.8434482636264382,0.29759933299988006,0.0003785597597540415
42,rank_pairwise,0.8433333333333334,0.8336084834687678,0.8423884606540455,0.8582053000294863,0.9055555555555554,0.6471111111111111,0.5903138478007706,0.8799537037037036,0.5481058201058202,0.7539200742889491,0.8560728615520283,0.6270151249998435,0.00037590090091630274
42,rank_map,0.823888888888889,0.8161466208497565,0.837628216675109,0.8490021606280929,0.8827777777777779,0.6457777777777778,0.5911722322089968,0.8661759259259258,0.5381058201058202,0.75060787310266,0.8495531536071218,0.8310944590000418,0.0003896896396463626
52,leakage_safe_lexical_baseline,0.86,0.8742477768457952,0.8713355850394773,0.8880213837925449,0.9221111111111111,0.6544444444444444,0.6296923910027609,0.9083888888888888,0.5416190476190477,0.7838875867056311,0.8940977933148565,,
52,persisted_v1_reference,0.8466666666666667,0.8634148228976775,0.8736694711632835,0.8913814074180924,0.9155555555555555,0.6624444444444444,0.6320432174311569,0.9054444444444444,0.5482857142857143,0.7867256484305504,0.8894049015285126,,
52,random_forest,0.8466666666666667,0.8768388900447828,0.8823639376059359,0.8933584101023058,0.9194444444444446,0.673111111111111,0.6386231734104264,0.90725,0.5496190476190477,0.7917717000376818,0.8946471119929452,,
52,hard_negative_original,0.86,0.8745831883067812,0.8725824937124035,0.8888524407406772,0.921,0.6571111111111111,0.6310257243360943,0.9082685185185185,0.5436190476190477,0.7851888382503491,0.8928289609053498,,
52,hard_negative_weighted,0.8666666666666667,0.8740221791082875,0.881790099166505,0.8959820156637215,0.926111111111111,0.6691111111111112,0.6419803872064507,0.9090462962962962,0.550952380952381,0.7926957524608961,0.8946532386411354,,
52,hard_negative_enriched,0.8933333333333333,0.8808360189528127,0.8809788765693414,0.8902899274554246,0.941111111111111,0.6637777777777778,0.6390719617888483,0.9147407407407407,0.540952380952381,0.7845498436192492,0.8947378348870412,,
52,hard_negative_weighted_enriched,0.88,0.8683408321423326,0.8719777284959256,0.8806578284631296,0.9255730994152047,0.6544444444444444,0.6298805654173132,0.9017777777777777,0.5336190476190477,0.7735067714661202,0.8923872008062483,,
52,rank_ndcg_mean,0.88,0.8692694977089256,0.8824042722712439,0.8966790276955133,0.9338888888888888,0.6677777777777777,0.639291856166844,0.9094166666666664,0.5496190476190477,0.7933400234168368,0.8966699997900395,0.4176993329999732,0.0003746759909000388
52,rank_ndcg_topk,0.89,0.8769293088334227,0.8886754219928131,0.9030460974827231,0.9394444444444444,0.6731111111111111,0.6432367451687669,0.9140648148148148,0.5542857142857144,0.7914032088125441,0.9050730232216343,0.2837377920000108,0.00037879688981203014
52,rank_pairwise,0.8588888888888888,0.869862738809954,0.8758829915482977,0.8918685592014216,0.9233333333333333,0.6637777777777778,0.6351162081693765,0.9089814814814815,0.5462857142857144,0.7892568461230125,0.8950874800537498,0.6292690830000538,0.0003079406410064221
