seed,model,precision,recall,f1,pr_auc,roc_auc,log_loss,brier,ece,train_seconds
42,logistic,0.7508771929824561,0.5320074580484773,0.6227719170607494,0.7302073127378972,0.9178441426351157,0.3266645430081228,0.10450604925818882,0.06213747818512911,0.4489911250000205
42,tuned_logistic,0.7399665551839465,0.5500310752019888,0.6310160427807486,0.7288926575746363,0.9159635115236643,0.3295403307269024,0.10457177463517126,0.05871922524920107,0.44727350000016486
42,linear_svc,0.7469879518072289,0.5394655065257924,0.626488632262721,0.7359430175506307,0.9224108622811771,,,,0.4872202090000428
42,sgd_log_loss,0.5761024182076814,0.5034182722187694,0.5373134328358209,0.4192836980849006,0.685294581963783,7.5241732792303715,0.20941118295947675,0.20943299773246427,0.4509336250000615
42,sgd_modified_huber,0.49042709867452133,0.6208825357364823,0.5479978058145913,0.3959339724199934,0.7076254768176286,8.918969960864047,0.2474637109847309,0.24749686376626107,0.5987908749998496
42,decision_tree,0.7167673716012085,0.5898073337476694,0.6471189907944085,0.6809422095563051,0.8709176960570854,0.7902653139213982,0.1101345327343878,0.05107138114641151,0.26137791700011803
42,random_forest,0.7172455819622182,0.7315102548166563,0.7243076923076923,0.7680533198689489,0.9309678322748733,0.27967662263390475,0.09006133136345992,0.0180721351667517,1.3296613750001143
42,extra_trees,0.7706797706797707,0.5848353014294593,0.665017667844523,0.768118375108589,0.9316533816230447,0.28347996709068624,0.09241588651003466,0.04235488229994026,0.4738858330001676
42,hist_gradient_boosting,0.6616257088846881,0.870105655686762,0.7516778523489933,0.7548868970249665,0.9306063854095312,0.30860149422820793,0.09872672174338634,0.06345579923233875,0.786355125
42,xgb_classifier,0.6596858638743456,0.8614045991298943,0.7471698113207547,0.7478321996795686,0.9276214187690776,0.30497426644341874,0.09862163656036195,0.05770936069322063,0.1775881250000566
52,logistic,0.7724222086638194,0.5057930483419896,0.6112988894253983,0.7677082894716869,0.9272729494468629,0.312475443930177,0.09800291745810347,0.06719629927617667,0.3468915000000834
52,tuned_logistic,0.7735042735042735,0.5061925689172992,0.61192948563149,0.7667661799618882,0.9269903096267074,0.3138763513789401,0.09818539650893761,0.06933511812622503,0.3747748749999573
52,linear_svc,0.7913950456323338,0.48501797842588895,0.6014367104285361,0.7706230958472546,0.9339610818379377,,,,0.3929686670001047
52,sgd_log_loss,0.6316894018887723,0.48102277267279264,0.5461555908369244,0.4498099343877647,0.707708948938012,6.786057121190566,0.1896942224038476,0.1897541031870284,0.3826926669999011
52,sgd_modified_huber,0.6265664160401002,0.5992808629644427,0.612619971411068,0.4709088894447472,0.744278965204455,6.477249118189762,0.17985891864377063,0.1798683860868682,0.3052344999998695
52,decision_tree,0.7530502684236213,0.6164602477027566,0.6779437609841827,0.7524925117192183,0.9326716680503103,0.2901150753088434,0.0905919274101644,0.0451061118156635,0.25228937499991844
52,random_forest,0.7519558214450069,0.6528166200559329,0.6988879384088965,0.7872296572778008,0.9409966525808715,0.2593881341311286,0.08371565257039211,0.040811887866681565,1.134774458000038
52,extra_trees,0.7843478260869565,0.5405513383939273,0.6400189214758751,0.7858086244777611,0.9395293843334783,0.27268271654751464,0.0895796769373713,0.060299665802486344,0.4373626660001264
52,hist_gradient_boosting,0.688422433584782,0.8385936875749102,0.7561239193083573,0.7783123851239011,0.9384428850740294,0.27452849752327113,0.08761057097788444,0.04694699135706536,0.7408778330000132
52,xgb_classifier,0.6906721536351166,0.8046344386735917,0.7433105739066248,0.7526947195276908,0.934874371070518,0.2766330723856147,0.08975705741694777,0.041459744745643276,0.18822412500003338
62,logistic,0.7546948356807511,0.623062015503876,0.6825902335456475,0.7293695754202206,0.9063931397975803,0.32519020625776124,0.10013461291238324,0.04874459773289784,0.5242596250000133
62,tuned_logistic,0.7555135475740391,0.5809108527131783,0.6568063544234456,0.7123077484590676,0.891861689043641,0.351715378289482,0.10706141649726605,0.07043068782011791,0.3455352920000223
62,linear_svc,0.7588270496708558,0.6143410852713178,0.6789825970548862,0.7341287545078061,0.9069378621033879,,,,0.418837166000003
62,sgd_log_loss,0.6931407942238267,0.27906976744186046,0.39792746113989635,0.3987539014646594,0.6406468665071382,7.3155967794839025,0.2036189172026683,0.20363276961292276,0.4691749169999184
