method,precision,recall,f1,pr_auc,roc_auc,log_loss,brier,ece
uncalibrated,0.7068403908794788,0.8611111111111112,0.776386404293381,0.7570177641081505,0.9340436085781831,,,
sigmoid,0.7256317689530686,0.7976190476190477,0.7599243856332704,0.7654390570863989,0.9345396403242148,0.2919797119640509,0.08873876076158657,0.05156896077634647
isotonic,0.7263157894736842,0.8214285714285714,0.770949720670391,0.7662897014983443,0.9353206264775413,0.31792276501362676,0.08866124908455161,0.047990850521298506
