model,precision,recall,f1,pr_auc,roc_auc,log_loss,brier,ece,latency_ms_per_row,train_seconds,peak_memory_mb,artifact_size_bytes,status
random_forest,0.7361111111111112,0.8412698412698413,0.7851851851851852,0.7878638810767273,0.9380778242147924,0.2743140963441287,0.0832095683388539,0.05386732243190538,0.003552457171287617,0.31296016699997153,711.375,1697129,challenger
linear_svc,0.7068403908794788,0.8611111111111112,0.776386404293381,0.7570177641081505,0.9340436085781831,,,,0.00200132768923258,0.046042542000009234,711.375,987,challenger
hist_gradient_boosting,0.717948717948718,0.7777777777777778,0.7466666666666667,0.7508350232265769,0.930972433299561,0.2906323967863062,0.09323394469386852,0.059729739335485685,0.005202980079662481,0.6698140409999951,711.375,238320,challenger
extra_trees,0.7530864197530864,0.7261904761904762,0.7393939393939394,0.7718321931624523,0.9388640873015873,0.2722512047734271,0.08527745117305555,0.055390621762634026,0.0037571802789172753,0.09852058299998134,711.375,2038409,challenger
tuned_logistic,0.7115384615384616,0.7341269841269841,0.72265625,0.7528757654112509,0.9285344900371495,0.30291435616048007,0.0920076879432576,0.05494445546626925,0.0004091135457746173,0.07233424999998306,711.375,1131,challenger
decision_tree,0.7319148936170212,0.6825396825396826,0.7063655030800822,0.736490920563834,0.9296162613981763,0.8633291591144293,0.09976361624757601,0.07568374350735155,0.00014409063742259676,0.034851874999958454,711.375,11625,challenger
sgd_log_loss,0.5065359477124183,0.6150793650793651,0.5555555555555556,0.4149457200449689,0.7121063407632556,8.87023902897081,0.2469063887129933,0.2469001258023128,0.009690363545795286,0.055171916999995574,711.375,1361,challenger
sgd_modified_huber,0.5261194029850746,0.5595238095238095,0.5423076923076923,0.4049341015469041,0.6953204154002026,8.544212655985937,0.23705179282868527,0.23705179282868527,0.00011458266933767523,0.04057179199998018,711.375,1387,challenger
