operating_point,threshold,precision,recall,f1,predicted_positive_rate
maximum_f1,0.325,0.6712707182320442,0.9642857142857143,0.7915309446254072,0.3605577689243028
recall_focused,0.5750000000000001,0.7764227642276422,0.7579365079365079,0.7670682730923695,0.2450199203187251
precision_focused,0.725,0.8,0.5396825396825397,0.6445497630331753,0.1693227091633466
balanced_default,0.5,0.7361111111111112,0.8412698412698413,0.7851851851851852,0.2868525896414343
