model,ndcg@1,ndcg@3,ndcg@5,ndcg@10,mrr,precision@5,recall@5,map@5,precision@10,recall@10,map@10,train_seconds,latency_ms_per_row,artifact_size_bytes,sample_weight_used
rank_ndcg_topk,0.8888888888888888,0.8429553786142717,0.867299612915966,0.8802050968503734,0.9166666666666666,0.6657407407407407,0.5643633817585756,0.876466049382716,0.5685185185185185,0.7084561855028281,0.869862607079869,0.061680292000005466,0.0006396085657039598,127157,False
rank_pairwise,0.8888888888888888,0.8888888888888888,0.8757381711945493,0.8797099277948026,0.9166666666666666,0.6657407407407407,0.5732958973398248,0.8993827160493826,0.5462962962962964,0.7035034710261834,0.8926509353741496,0.1185061660000315,0.0006359980079583055,151059,False
rank_ndcg_mean,0.8888888888888888,0.8724398938352297,0.8734606837364581,0.8779111486063078,0.9074074074074073,0.6657407407407407,0.5662701362157029,0.8955246913580246,0.5518518518518518,0.704965459330277,0.8856679106827916,0.2593365000000176,0.0021399820716994666,107165,False
rank_map,0.8888888888888888,0.8756987738770543,0.8576682648987534,0.872833903318454,0.9166666666666666,0.6324074074074075,0.5617121726794111,0.8998456790123457,0.5462962962962963,0.7027802309104649,0.8736362626326251,0.1793532919999734,0.0007315318725207351,142666,False
