experiment,hard_negative_rows,precision,recall,f1,pr_auc,roc_auc,log_loss,brier,ece
original,150,0.7115384615384616,0.7341269841269841,0.72265625,0.7528757654112509,0.9285344900371495,0.30291435616048007,0.0920076879432576,0.05494445546626925
weighted_hard_negative,150,0.7656903765690377,0.7261904761904762,0.745417515274949,0.749356283136718,0.9245767899358326,0.3097932877342358,0.09568778779429733,0.05726647834198654
enriched_hard_negative,150,0.7601626016260162,0.7420634920634921,0.751004016064257,0.7554968983245373,0.9240385427220534,0.310778085154826,0.095754762345388,0.06526253621003408
