threshold,precision,recall,f1
0.1,0.5699935608499678,0.9176860874974082,0.7032094057832857
0.125,0.5999167937872695,0.8969521044992743,0.7189629383413662
0.15000000000000002,0.6228588304784406,0.8745594028612896,0.727554980595084
0.17500000000000002,0.6419521351478179,0.850922662243417,0.7318116975748931
0.2,0.6538839724680433,0.8272859216255443,0.7304347826086957
0.225,0.6646727055204239,0.806344598797429,0.7286865280119917
0.25,0.6782577522853558,0.7845739166493884,0.7275523937704288
0.275,0.6881680105006563,0.7609371760315157,0.7227254824734147
0.30000000000000004,0.6955845166310056,0.7414472320132698,0.7177840224809313
0.325,0.7040258952053409,0.7215426083350611,0.7126766332172845
0.35,0.7124499684010954,0.7012233049968899,0.7067920585161964
0.375,0.7203183727614415,0.6755131660792039,0.6971966616734432
0.4,0.7235171936302792,0.6500103669914991,0.6847968545216252
0.42500000000000004,0.727580372250423,0.6240928882438317,0.671875
0.45000000000000007,0.7296400306356906,0.5925772340866681,0.6540045766590389
0.475,0.7348586810228802,0.5660377358490566,0.6394940267041461
0.5,0.7405834041348061,0.5421936554012026,0.626047402441944
0.525,0.7456612806702573,0.5166908563134979,0.6104102878138395
0.55,0.7510307643514114,0.4909807173958117,0.5937813440320963
0.5750000000000001,0.7538513060951105,0.46672195728799504,0.5765142783967218
0.6,0.7569021154535676,0.4376943810906075,0.5546505517603784
0.625,0.7581573896353166,0.40949616421314533,0.531771674744211
0.65,0.7618849040867389,0.3788098693759071,0.5060240963855421
0.675,0.7650468123049488,0.3557951482479784,0.48570619869799037
0.7000000000000001,0.7664728682170543,0.32801161103047893,0.45941629156381586
0.725,0.7706323687031083,0.2981546755131661,0.42995963522200625
0.75,0.7724014336917563,0.2680904001658719,0.3980298599353548
0.775,0.7730923694779116,0.23947750362844702,0.3656799113503245
0.8,0.7798449612403101,0.20858386896122746,0.3291346311140193
0.8250000000000001,0.778393351800554,0.17478747667426914,0.28547240094818827
0.85,0.7737556561085973,0.14182044370723615,0.23970562467145612
0.875,0.7763157894736842,0.11009744972009122,0.19284546940257855
0.9,0.7874015748031497,0.08293593199253577,0.15006565372350403
