class,precision,recall,f1-score,support
0,0.8598451187000127,0.9366615959065137,0.8966110669843791,14462.0
1,0.7405834041348061,0.5421936554012026,0.626047402441944,4823.0
accuracy,0.8380088151413015,0.8380088151413015,0.8380088151413015,0.8380088151413015
macro avg,0.8002142614174094,0.7394276256538581,0.7613292347131615,19285.0
weighted avg,0.8300188677615635,0.8380088151413015,0.8289455987920968,19285.0
