bucket,rows,f1,precision,recall
1,2671.0,0.5581395348837209,0.6588235294117647,0.484149855907781
2,8476.0,0.5843015018418816,0.7224947442186405,0.4904852521408183
3,5609.0,0.6721177432542927,0.791907514450867,0.5838068181818182
4,1784.0,0.727705112960761,0.7707808564231738,0.6891891891891891
5,613.0,0.7003891050583657,0.7692307692307693,0.6428571428571429
6,107.0,0.78125,0.6944444444444444,0.8928571428571429
7,21.0,0.6666666666666666,0.75,0.6
8,4.0,1.0,1.0,1.0
