seed,retrieval_mode,policy,recall@10,recall@20,recall@50,recall@100,precision@10,map@10,ndcg@10,mrr,candidate_recall@100
42,tfidf,retrieval_only,0.5392270238296101,0.6619181567947232,0.7983386630093576,0.8859162406979816,0.366,0.43077464029644336,0.6034612787622073,0.7075278764737643,0.8859162406979816
42,tfidf,v1_relevance,0.43188845249174573,0.5821245437363484,0.7764055720191961,0.8859162406979816,0.322,0.3076709990233127,0.4844237374656552,0.5891950329590704,0.8859162406979816
42,tfidf,experimental_ranker,0.43188845249174573,0.5821245437363484,0.7764055720191961,0.8859162406979816,0.322,0.3076709990233127,0.4844237374656552,0.5891950329590704,0.8859162406979816
42,tfidf,blended_policy,0.43188845249174573,0.5821245437363484,0.7764055720191961,0.8859162406979816,0.322,0.3076709990233127,0.4844237374656552,0.5891950329590704,0.8859162406979816
42,hybrid_rrf,retrieval_only,0.5622029737647343,0.6794554442029177,0.8271868233377226,0.8935168722539811,0.36600000000000005,0.42871396683396656,0.6121336046557383,0.7182825754532439,0.8935168722539811
42,hybrid_rrf,v1_relevance,0.4449385551223412,0.5899400295332559,0.7882175290626321,0.8935168722539811,0.32466666666666666,0.31541594661268463,0.4909474148710789,0.5867437687945917,0.8935168722539811
42,hybrid_rrf,experimental_ranker,0.4449385551223412,0.5899400295332559,0.7882175290626321,0.8935168722539811,0.32466666666666666,0.31541594661268463,0.4909474148710789,0.5867437687945917,0.8935168722539811
42,hybrid_rrf,blended_policy,0.4449385551223412,0.5899400295332559,0.7882175290626321,0.8935168722539811,0.32466666666666666,0.31541594661268463,0.4909474148710789,0.5867437687945917,0.8935168722539811
52,tfidf,retrieval_only,0.5535266134746301,0.6873656063222511,0.8139435700237557,0.8825654447254808,0.3826666666666667,0.44303097067599867,0.628889505804474,0.7295213744352299,0.8825654447254808
52,tfidf,v1_relevance,0.49081257590898303,0.6152129063984307,0.7812311814150177,0.8825654447254808,0.35600000000000004,0.36767886260553423,0.5559671691379232,0.6521413324299026,0.8825654447254808
52,tfidf,experimental_ranker,0.49081257590898303,0.6152129063984307,0.7812311814150177,0.8825654447254808,0.35600000000000004,0.36767886260553423,0.5559671691379232,0.6521413324299026,0.8825654447254808
52,tfidf,blended_policy,0.49081257590898303,0.6152129063984307,0.7812311814150177,0.8825654447254808,0.35600000000000004,0.36767886260553423,0.5559671691379232,0.6521413324299026,0.8825654447254808
52,hybrid_rrf,retrieval_only,0.5780782879579484,0.7074776356363731,0.8424452487264588,0.8984785671012313,0.37666666666666665,0.44960811751105645,0.6400894198751881,0.7364912874566575,0.8984785671012313
52,hybrid_rrf,v1_relevance,0.49578381463658955,0.6175085831544002,0.7971510754905502,0.8984785671012313,0.36133333333333334,0.37494019539808526,0.5649760773443837,0.6578069801421492,0.8984785671012313
52,hybrid_rrf,experimental_ranker,0.49578381463658955,0.6175085831544002,0.7971510754905502,0.8984785671012313,0.36133333333333334,0.37494019539808526,0.5649760773443837,0.6578069801421492,0.8984785671012313
52,hybrid_rrf,blended_policy,0.49578381463658955,0.6175085831544002,0.7971510754905502,0.8984785671012313,0.36133333333333334,0.37494019539808526,0.5649760773443837,0.6578069801421492,0.8984785671012313
