candidate,metric,delta_mean,delta_ci95_low,delta_ci95_high,improved,unchanged,worsened
hybrid_rrf+blended_policy,mrr,-0.09388521900934385,-0.15472447622035634,-0.033045961798331344,142,331,277
hybrid_rrf+blended_policy,ndcg@10,-0.0876517193474551,-0.11812228748013717,-0.05718115121477302,220,117,413
hybrid_rrf+blended_policy,recall@50,-0.03733387748866464,-0.05973191340224403,-0.014935841575085249,107,466,177
hybrid_rrf+experimental_ranker,mrr,-0.09388521900934385,-0.15472447622035634,-0.033045961798331344,142,331,277
hybrid_rrf+experimental_ranker,ndcg@10,-0.0876517193474551,-0.11812228748013717,-0.05718115121477302,220,117,413
hybrid_rrf+experimental_ranker,recall@50,-0.03733387748866464,-0.05973191340224403,-0.014935841575085249,107,466,177
hybrid_rrf+v1_relevance,mrr,-0.09388521900934385,-0.15472447622035634,-0.033045961798331344,142,331,277
hybrid_rrf+v1_relevance,ndcg@10,-0.0876517193474551,-0.11812228748013717,-0.05718115121477302,220,117,413
hybrid_rrf+v1_relevance,recall@50,-0.03733387748866464,-0.05973191340224403,-0.014935841575085249,107,466,177
